loss  lr  ac_rate_train  ac_rate_val  ac_rate_test
2.3631  1e-03  25.4131  25.3794  21.6822
1.7610  1e-03  41.9384  40.6408  35.7009
1.3383  1e-03  54.5333  52.3609  51.5888
1.0218  1e-03  67.9023  67.8752  61.9159
0.7801  1e-03  82.1498  80.6914  74.7664
0.5566  1e-03  84.2638  83.6425  74.5794
0.4529  1e-03  84.7104  84.2327  76.6355
0.4037  1e-03  85.5739  82.5464  76.7290
0.3076  1e-03  91.7374  88.7015  87.0093
0.2425  1e-03  90.3231  89.1231  79.2991
0.2828  1e-03  92.8837  89.6290  85.7477
0.1892  1e-03  93.1964  89.9663  83.5047
0.1624  1e-03  95.2955  92.4958  89.2991
0.1854  1e-03  92.5562  89.2074  86.7290
0.1552  1e-03  97.0225  93.6762  89.8131
0.1491  1e-03  95.3104  92.6644  86.4953
0.1631  1e-03  97.0076  93.3390  87.0561
0.1474  1e-03  97.0076  94.8567  88.5981
0.1072  1e-03  97.6180  95.1096  91.4486
0.1066  1e-03  93.3601  89.5447  88.4579
0.1334  1e-03  96.6801  92.4115  87.1028
0.1085  1e-03  96.5312  93.0017  87.3832
0.1068  1e-03  97.5435  94.1821  90.2804
0.1086  1e-03  97.3947  95.1096  88.3178
0.0972  1e-03  95.9208  92.8331  86.5421
0.0853  1e-03  98.2135  94.8567  91.3084
0.0684  1e-03  98.8388  95.9528  89.6729
0.0634  1e-03  98.5857  94.9410  91.7290
0.0429  1e-03  98.4666  94.9410  89.8131
0.0904  1e-03  96.5907  93.4233  90.4206
0.0957  1e-03  97.8711  94.7723  89.0654
0.0840  1e-03  97.7669  93.7605  90.1402
0.0830  1e-03  97.6329  94.2664  85.6075
0.0751  1e-03  96.6801  93.6762  88.6916
0.1270  5e-04  96.9183  92.7487  87.4299
0.0446  5e-04  99.5236  96.9646  92.3832
0.0170  5e-04  99.8958  97.4705  92.4766
0.0106  5e-04  99.8958  97.4705  92.6636
0.0069  5e-04  99.9553  97.6391  93.4112
