Predicted_Labels  True_Labels
0  0
0  0
7  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
7  0
0  0
0  0
7  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
0  0
1  1
3  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
8  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
3  1
3  1
1  1
3  1
3  1
1  1
1  1
1  1
3  1
1  1
1  1
1  1
1  1
3  1
3  1
1  1
1  1
3  1
1  1
8  1
1  1
1  1
3  1
1  1
1  1
1  1
3  1
3  1
3  1
1  1
3  1
3  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
1  1
8  1
13  2
2  2
2  2
2  2
13  2
2  2
2  2
13  2
2  2
11  2
13  2
13  2
2  2
13  2
2  2
13  2
0  2
0  2
0  2
0  2
8  2
0  2
0  2
0  2
2  2
2  2
17  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
17  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
17  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
7  2
2  2
2  2
7  2
2  2
2  2
2  2
2  2
2  2
2  2
13  2
10  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
7  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
0  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
17  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
2  2
